text1	labels
"During Operation Wocao, threat actors encrypted IP addresses used for ""Agent"" proxy hops with RC4."	['T1001']
FlawedAmmyy may obfuscate portions of the initial C2 handshake.	['T1001']
FunnyDream can send compressed and obfuscated packets to C2.	['T1001']
"Operation Wocao has encrypted IP addresses used for ""Agent"" proxy hops with RC4."	['T1001']
POWRUNER can use base64 encoded C2 communications.	['T1001', 'T1132.001']
RDAT has used encoded data within subdomains as AES ciphertext to communicate from the host to the C2.	['T1001']
SLOTHFULMEDIA has hashed a string containing system information prior to exfiltration via POST requests.	['T1001']
SideTwist can embed C2 responses in the source code of a fake Flickr webpage.	['T1001']
The Axiom group has used other forms of obfuscation, include commingling legitimate traffic with communications traffic so that network streams appear legitimate.	['T1001']
TrailBlazer can masquerade its C2 traffic as legitimate Google Notifications HTTP requests.	['T1001']
Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them.	['T1001.001']
GoldMax has used decoy traffic to surround its malicious network traffic to avoid detection.	['T1001.001']
GrimAgent  can pad C2 messages with random generated values.	['T1001.001']
Kevin can generate a sequence of dummy HTTP C2 requests to obscure traffic.	['T1001.001']
P2P ZeuS added junk data to outgoing UDP packets to peer implants.	['T1001.001']
P8RAT can send randomly-generated data as part of its C2 communication.	['T1001.001']
SUNBURST added junk bytes to its C2 over HTTP.	['T1001.001']
TrailBlazer has used random identifier strings to obscure its C2 operations and result codes.	['T1001.001']
Turian can insert pseudo-random characters into its network encryption setup.	['T1001.001']
WellMess can use junk data in the Base64 string for additional obfuscation.	['T1001.001']
APT29 has used steganography to hide C2 communications in images.	['T1001.002']
Axiom has used steganography to hide its C2 communications.	['T1001.002']
Daserf can use steganography to hide malicious code downloaded to the victim.	['T1001.002']
HAMMERTOSS is controlled via commands that are appended to image files.	['T1001.002']
LightNeuron is controlled via commands that are embedded into PDFs and JPGs using steganographic methods.	['T1001.002']
RDAT can process steganographic images attached to email messages to send and receive C2 commands. RDAT can also embed additional messages within BMP images to communicate with the RDAT operator.	['T1001.002']
Sliver can encode binary data into a .PNG file for C2 communication.	['T1001.002']
When the Duqu command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file.	['T1001.002']
Zox has used the .PNG file format for C2 communications.	['T1001.002']
BADCALL uses a FakeTLS method during C2.	['T1001.003']
Bankshot generates a false TLS handshake using a public certificate to disguise C2 network communications.	['T1001.003']
Cobalt Strike can mimic the HTTP protocol for C2 communication, while hiding the actual data in either an HTTP header, URI parameter, the transaction body, or appending it to the URI.	['T1001.003']
FALLCHILL uses fake Transport Layer Security (TLS) to communicate with its C2 server.	['T1001.003']
HARDRAIN uses FakeTLS to communicate with its C2 server.	['T1001.003']
KeyBoy uses custom SSL libraries to impersonate SSL in C2 traffic.	['T1001.003']
