"ttp"	"description"
"t1055.011"	"adversaries may inject malicious code into process via extra window memory ewm in order to evade process-based defenses as well as possibly elevate privileges. ewm injection is a method of executing arbitrary code in the address space of a separate live process. 

before creating a window, graphical windows-based processes must prescribe to or register a windows class, which stipulate appearance and behavior via windows procedures, which are functions that handle input/output of data.citation: microsoft window classes registration of new windows classes can include a request for up to 40 bytes of ewm to be appended to the allocated memory of each instance of that class. this ewm is intended to store data specific to that window and has specific application programming interface api functions to set and get its value. citation: microsoft getwindowlong function citation: microsoft setwindowlong function

although small, the ewm is large enough to store a 32-bit pointer and is often used to point to a windows procedure. malware may possibly utilize this memory location in part of an attack chain that includes writing code to shared sections of the process’s memory, placing a pointer to the code in ewm, then invoking execution by returning execution control to the address in the process’s ewm.

execution granted through ewm injection may allow access to both the target process's memory and possibly elevated privileges. writing payloads to shared sections also avoids the use of highly monitored api calls such as writeprocessmemory and createremotethread.citation: elastic process injection july 2017 more sophisticated malware samples may also potentially bypass protection mechanisms such as data execution prevention dep by triggering a combination of windows procedures and other system functions that will rewrite the malicious payload inside an executable portion of the target process.  citation: malwaretech power loader aug 2013 citation: welivesecurity gapz and redyms mar 2013

running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. execution via ewm injection may also evade detection from security products since the execution is masked under a legitimate process. "
"t1053.005"	"adversaries may abuse the windows task scheduler to perform task scheduling for initial or recurring execution of malicious code. there are multiple ways to access the task scheduler in windows. the schtasks utility can be run directly on the command line, or the task scheduler can be opened through the gui within the administrator tools section of the control panel. in some cases, adversaries have used a .net wrapper for the windows task scheduler, and alternatively, adversaries have used the windows netapi32 library to create a scheduled task.

the deprecated at utility could also be abused by adversaries ex: at, though at.exe can not access tasks created with schtasks or the control panel.

an adversary may use windows task scheduler to execute programs at system startup or on a scheduled basis for persistence. the windows task scheduler can also be abused to conduct remote execution as part of lateral movement and/or to run a process under the context of a specified account such as system. similar to system binary proxy execution, adversaries have also abused the windows task scheduler to potentially mask one-time execution under signed/trusted system processes.citation: proofpoint serpent

adversaries may also create ""hidden"" scheduled tasks i.e. hide artifacts that may not be visible to defender tools and manual queries used to enumerate tasks. specifically, an adversary may hide a task from `schtasks /query` and the task scheduler by deleting the associated security descriptor sd registry value where deletion of this value must be completed using system permissions.citation: sigmahqcitation: tarrask scheduled task adversaries may also employ alternate methods to hide tasks, such as altering the metadata e.g., `index` value within associated registry keys.citation: defending against scheduled task attacks in windows environments "
"t1205.002"	"adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control. with elevated permissions, adversaries can use features such as the `libpcap` library to open sockets and install filters to allow or disallow certain types of data to come through the socket. the filter may apply to all traffic passing through the specified network interface or every interface if not specified. when the network interface receives a packet matching the filter criteria, additional actions can be triggered on the host, such as activation of a reverse shell.

to establish a connection, an adversary sends a crafted packet to the targeted host that matches the installed filter criteria.citation: haking9 libpcap network sniffing adversaries have used these socket filters to trigger the installation of implants, conduct ping backs, and to invoke command shells. communication with these socket filters may also be used in conjunction with protocol tunneling.citation: exatrack bpf filters passive backdoorscitation: leonardo turla penquin may 2020

filters can be installed on any unix-like platform with `libpcap` installed or on windows hosts using `winpcap`.  adversaries may use either `libpcap` with `pcap_setfilter` or the standard library function `setsockopt` with `so_attach_filter` options. since the socket connection is not active until the packet is received, this behavior may be difficult to detect due to the lack of activity on a host, low cpu overhead, and limited visibility into raw socket usage."
"t1066"	"if a malicious tool is detected and quarantined or otherwise curtailed, an adversary may be able to determine why the malicious tool was detected the indicator, modify the tool by removing the indicator, and use the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems.

a good example of this is when malware is detected with a file signature and quarantined by anti-virus software. an adversary who can determine that the malware was quarantined because of its file signature may use software packing or otherwise modify the file so it has a different signature, and then re-use the malware."
"t1560.001"	"adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier/more secure to transport.

adversaries may abuse various utilities to compress or encrypt data before exfiltration. some third party utilities may be preinstalled, such as tar on linux and macos or zip on windows systems. on windows, diantz or  makecab may be used to package collected files into a cabinet .cab file. diantz may also be used to download and compress files from remote locations i.e. remote data staging.citation: diantz.exe_lolbas additionally, xcopy on windows can copy files and directories with a variety of options.

adversaries may use also third party utilities, such as 7-zip, winrar, and winzip, to perform similar activities.citation: 7zip homepagecitation: winrar homepagecitation: winzip homepage"
"t1021.005"	"adversaries may use valid accounts to remotely control machines using virtual network computing vnc.  vnc is a platform-independent desktop sharing system that uses the rfb “remote framebuffer” protocol to enable users to remotely control another computer’s display by relaying the screen, mouse, and keyboard inputs over the network.citation: the remote framebuffer protocol

vnc differs from remote desktop protocol as vnc is screen-sharing software rather than resource-sharing software. by default, vnc uses the system's authentication, but it can be configured to use credentials specific to vnc.citation: macos vnc software for remote desktopcitation: vnc authentication

adversaries may abuse vnc to perform malicious actions as the logged-on user such as opening documents, downloading files, and running arbitrary commands. an adversary could use vnc to remotely control and monitor a system to collect data and information to pivot to other systems within the network. specific vnc libraries/implementations have also been susceptible to brute force attacks and memory usage exploitation.citation: hijacking vnccitation: macos root vnc login without authenticationcitation: vnc vulnerabilitiescitation: offensive security vnc authentication checkcitation: attacking vnc servers pentestlabcitation: havana authentication bug"
"t1047"	"adversaries may abuse windows management instrumentation wmi to execute malicious commands and payloads. wmi is an administration feature that provides a uniform environment to access windows system components. the wmi service enables both local and remote access, though the latter is facilitated by remote services such as distributed component object model dcom and windows remote management winrm.citation: msdn wmi remote wmi over dcom operates using port 135, whereas wmi over winrm operates over port 5985 when using http and 5986 for https.citation: msdn wmicitation: fireeye wmi 2015

an adversary can use wmi to interact with local and remote systems and use it as a means to execute various behaviors, such as gathering information for discovery as well as remote execution of files as part of lateral movement. citation: fireeye wmi sans 2015 citation: fireeye wmi 2015"
"t1156"	"adversaries may establish persistence through executing malicious commands triggered by a user’s shell. user shells execute several configuration scripts at different points throughout the session based on events. for example, when a user opens a command line interface or remotely logs in such as ssh a login shell is initiated. the login shell executes scripts from the system /etc and the user’s home directory ~/ to configure the environment. all login shells on a system use /etc/profile when initiated. these configuration scripts run at the permission level of their directory and are often used to set environment variables, create aliases, and customize the user’s environment. when the shell exits or terminates, additional shell scripts are executed to ensure the shell exits appropriately. 

adversaries may attempt to establish persistence by inserting commands into scripts automatically executed by shells. using bash as an example, the default shell for most gnu/linux systems, adversaries may add commands that launch malicious binaries into the /etc/profile and /etc/profile.d files citation: intezer-kaiji-malware. these files require root permissions and are executed each time any shell on a system launches. for user level permissions, adversaries can insert malicious commands into ~/.bash_profile, ~/.bash_login, or ~/.profile rocke which are sourced when a user opens a command line interface or connects remotely. adversaries often use ~/.bash_profile since the system only executes the first file that exists in the listed order. adversaries have also leveraged the ~/.bashrc file tsunami, rocke, linux rabbit, magento which is additionally executed if the connection is established remotely or an additional interactive shell is opened, such as a new tab in the command line interface. some malware targets the termination of a program to trigger execution cannon, adversaries can use the ~/.bash_logout file to execute malicious commands at the end of a sessionpearl_shellbot. 

for macos, the functionality of this technique is similar but leverages zsh, the default shell for macos 10.15+. when the terminal.app is opened, the application launches a zsh login shell and a zsh interactive shell. the login shell configures the system environment using /etc/profile, /etc/zshenv, /etc/zprofile, and /etc/zlogin. the login shell then configures the user environment with ~/.zprofile and ~/.zlogin. the interactive shell uses the ~/.zshrc to configure the user environment. upon exiting, /etc/zlogout and ~/.zlogout are executed. for legacy programs, macos executes /etc/bashrc on startup."
"t1113"	"adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. screen capturing functionality may be included as a feature of a remote access tool used in post-compromise operations. taking a screenshot is also typically possible through native utilities or api calls, such as copyfromscreen, xwd, or screencapture.citation: copyfromscreen .netcitation: antiquated mac malware
"
"t1067"	"a bootkit is a malware variant that modifies the boot sectors of a hard drive, including the master boot record mbr and volume boot record vbr. citation: mtrends 2016

adversaries may use bootkits to persist on systems at a layer below the operating system, which may make it difficult to perform full remediation unless an organization suspects one was used and can act accordingly.

### master boot record
the mbr is the section of disk that is first loaded after completing hardware initialization by the bios. it is the location of the boot loader. an adversary who has raw access to the boot drive may overwrite this area, diverting execution during startup from the normal boot loader to adversary code. citation: lau 2011

### volume boot record
the mbr passes control of the boot process to the vbr. similar to the case of mbr, an adversary who has raw access to the boot drive may overwrite the vbr to divert execution during startup to adversary code."
